number,title,question,choice1,choice2,choice3,choice4,choice5,answer
11,프로테스탄트 윤리와 합리화,베버가 서구 자본주의의 형성과 관련해 주목한 것으로 가장 적절한 것은?,절대적 평등의 실현,프로테스탄트 윤리와 합리화,기계적 연대의 강화,계급 없는 사회의 도래,생산수단의 공유,2
12,철창,베버가 말한 **철창(iron cage)**의 의미로 가장 적절한 것은?,근대사회에서 모든 사람이 완전히 자유로워지는 상태,종교적 믿음이 사라진 사회,합리화와 관료제의 확대로 인해 개인의 자유와 의미가 제약되는 상태,전통사회로의 복귀,계급 갈등이 완전히 사라진 상태,3
13,구조기능주의,구조기능주의에서 사회를 바라보는 관점으로 가장 적절한 것은?,사회는 끊임없는 권력투쟁의 장이다.,사회는 개인의 주관적 의미만으로 구성된다.,사회는 상호의존적인 부분들이 기능을 수행하는 체계이다.,사회는 존재하지 않고 개인만 실재한다.,사회는 오직 경제적 구조로만 설명된다.,3
14,AGIL 통합 기능,파슨스의 **AGIL** 중 **통합(I)** 기능의 설명으로 가장 적절한 것은?,자원을 조달하고 환경에 적응하는 기능,목표를 설정하고 자원을 동원하는 기능,구성요소 간 관계를 조정하고 통제하는 기능,가치와 동기를 전달하는 기능,사회변동을 촉진하는 기능,3
15,잠재적 기능,다음 중 머튼의 **잠재적 기능**의 예로 가장 적절한 것은?,학교가 학생을 가르치는 기능,법이 질서를 유지하는 기능,기우제가 집단의 연대를 강화하는 기능,정부가 예산을 편성하는 기능,기업이 이윤을 창출하는 기능,3
16,역기능,다음 중 **역기능**에 대한 설명으로 가장 적절한 것은?,사회체계의 유지에 긍정적으로 기여하는 결과,사회에 아무 영향도 주지 않는 상태,사회 유지에 부정적 결과를 초래하는 기능,개인의 주관적 의미를 뜻하는 개념,사회적 행위의 의도된 결과만을 뜻한다.,3
17,갈등론,갈등론의 입장에 대한 설명으로 가장 적절한 것은?,사회는 공통 가치에 의해 자연스럽게 통합된다.,사회의 모든 요소는 안정에만 기여한다.,"사회질서는 권력, 강제, 이해관계 충돌과 관련될 수 있다.",사회는 개인의 의미 구성만으로 설명할 수 있다.,갈등은 매우 예외적이고 일시적인 현상이다.,3
18,상징적 상호작용론,상징적 상호작용론의 관점에서 가장 잘 설명되는 것은?,사회 전체의 계급 구조,법과 경제제도의 기능적 분화,사람들이 일상적 상호작용 속에서 의미를 해석하고 역할을 수행하는 방식,생산수단의 소유 관계,사회의 장기적 제도 변동만,3
19,제도주의,제도주의에서 특히 중요하게 보는 개념으로 가장 적절한 것은?,생물학적 본능,정당성,개인의 충동,물리적 강제력만,무정부 상태,2
20,제도주의 사례,"다음 사례를 가장 잘 설명하는 이론은 무엇인가?

“한 조직이 실제 효율성 때문만이 아니라 사회적으로 ‘정상적이고 적절한 조직’처럼 보이기 위해 다른 조직들의 형식을 따라 채택하였다.”",사회생물학,제도주의,아노미 이론,기계적 연대,절대예정설,2
